video_id,clip_id,text,label,mode
-3g5yACwYnA,82_7645,"Key is part of the people that we use to solve those issues, whether it's stretch or outdoor resistance or abrasions or different technical aspects that we really need to solve to get into new markets, they've been able to bring solutions.",1.0,train
-3g5yACwYnA,119_919,They've been able to find solutions or at least bring some answers to the table.,0.6666667,train
-3g5yACwYnA,4_84,Key Polymer brings a technical aspect to our operation that we don't have internally.,0.0,train
-3g5yACwYnA,13_6315,"We're a huge user of adhesives for our operation, called flocking, and we don't have the technical inside compounding or the technical expertise to do these types of things.",0.0,train
-3g5yACwYnA,27_031,"Key brings those types of aspects to a business on new markets, new potentials, and even on our equipment of how things run and operate with a pretty big, long experience with their team.",1.0,train
-3g5yACwYnA,74_083,"We have many new opportunities through the way things have changed through the years, looking for new niche high-end, value-added products.",0.6666667,train
-3nNcZdcdvU,0_0,"Introduction Speaker: Dr. Erma Jean Sims, Sonoma State University My name is Dr. Erma Jean Sims I'm a member of the faculty of the School of Education at Sonoma State University.",0.33333334,train
-3nNcZdcdvU,12_014,"It's important for teachers to understand their legal, ethical, and professional obligations in an educational setting.",1.0,train
-3nNcZdcdvU,36_399,Noncompliance can result in legal liability to you and to the school district in which you are employed.,0.0,train
-HwX2H8Z4hY,0_0,the state of American education,0.0,train
-HwX2H8Z4hY,2_247,"A 1983 report, “A Nation at Risk,” argued that America itself was “being eroded by a rising tide of mediocrity",-0.6666667,train
-HwX2H8Z4hY,10_818,"” [President Ronald Reagan:] ""Look at the record",0.0,train
-HwX2H8Z4hY,14_0655,"Federal spending on education soared eightfold in the past twenty years, rising much faster than inflation",0.33333334,train
-HwX2H8Z4hY,19_992,"But during the same period, Scholastic Aptitude Test results went down, down and down",-2.0,train
-HwX2H8Z4hY,27_08,""" President Ronald Reagan blamed the professional bureaucracy of education",-1.0,train
-HwX2H8Z4hY,32_358999999999995,"And in part, Al Shanker did too",0.0,train
-HwX2H8Z4hY,35_441,"For decades as a teacher and activist, he had complained about the burden of bureaucratic interference",0.6666667,train
-HwX2H8Z4hY,43_093,"""Now, that word 'professional' is becoming more and more of a dirty word for teachers",-1.6666666,train
-HwX2H8Z4hY,49_425,It is a word which the administrator uses when he turns around anything which he doesn't like that the teacher is doing,-0.33333334,train
-THoVjtIkeU,0_0,"To me specifically, social justice means that there isn’t really a separation between people based on their age, based on their religion their beliefs, their country of origin, things like that.",1.6666666,train
-THoVjtIkeU,13_078,"Ultimately no matter who you are or where you are, you have an equal opportunity to participate and be an active citizen in your own society and also in the world.",1.6666666,train
-THoVjtIkeU,112_625,"And they knock and if you don’t open the door and you wait till they bang and you don’t open the door, eventually it will get so frustrating that they will knock that door down.",-0.33333334,train
-THoVjtIkeU,122_6635,"I am absolutely optimistic, I think that there is no other way to be.",2.3333333,train
-THoVjtIkeU,126_9095,"What ever we turn our attention to is what grows and so if we believe that anything is possible, if we believe that social justice can be achieved and if we believe in youth, they will believe in themselves.",2.0,train
-THoVjtIkeU,23_308,I think social justice is extremely important for young people.,1.3333334,train
-THoVjtIkeU,84_27,"You know that I think listening to young people, taking in what they have to say because what we have seen all around the world is the power of youth.",2.6666667,train
-THoVjtIkeU,97_62,We can start resolving some of these problems if we are not only listening but then also reacting because young people don’t just explode over night.,1.0,train
-UuX1xuaiiE,0_0,^it's amazing to see their enthusiasm and their passion,2.6666667,train
-UuX1xuaiiE,3_325,^And all of them are really being able to explore ^these different areas in depth ^in a way that really wasn't available ^before the center was here,1.6666666,train
